project,period_s,run_id,n_agents,n_completed,n_ratio,mean_ratio_to_static_path,median_ratio_to_static_path,q95_ratio_to_static_path,q99_ratio_to_static_path,mean_excess_pct,q95_excess_pct,q99_excess_pct,mean_distance_m,q95_distance_m,mean_switch,q95_switch,q99_switch,max_switch,share_switch_ge1,share_switch_ge2
density-10,10,11,5041,5032,4687,1.0181033372817792,1.0208185921410584,1.0760697096189276,1.118349381831028,1.8103337281779153,7.606970961892756,11.834938183102794,60.48690633675079,128.99634999999998,0.017488076311605722,0.0,1.0,3,0.012718600953895072,0.0041732909379968205
density-10,10,12,4248,4241,3959,1.0246863162306925,1.0243541421191484,1.071957068825184,1.0966534551520377,2.4686316230692507,7.1957068825184045,9.665345515203771,65.79715182381749,152.683,0.009667531242631455,0.0,0.0,5,0.007073803348266918,0.0014147606696533837
density-10,10,13,4945,4937,4586,1.0272245132188278,1.0220902100105547,1.0825848195896195,1.289189919566591,2.7224513218827795,8.25848195896195,28.918991956659102,57.04395755718656,130.30519999999999,0.01721693336034029,0.0,1.0,3,0.013976098845452704,0.0024306258861656878
density-10,10,14,2863,2860,2660,1.018705882470668,1.016283247263984,1.0535664769821282,1.079903188500726,1.8705882470668067,5.356647698212824,7.9903188500725975,57.325221413667826,124.88984999999995,0.01048951048951049,0.0,0.0,4,0.006293706293706294,0.002797202797202797
density-10,10,15,2445,2442,2265,1.0133079215003076,1.0113507762575642,1.046558252629429,1.0657205518135695,1.3307921500307573,4.655825262942903,6.5720551813569505,60.20569343375102,136.94185,0.009828009828009828,0.0,0.0,3,0.00819000819000819,0.0012285012285012285
density-10,10,16,4005,3999,3743,1.019553926950814,1.0186800814203074,1.0693370460766967,1.1074635472357592,1.9553926950814038,6.933704607669666,10.746354723575923,67.02669663227307,144.9221,0.015503875968992248,0.0,1.0,3,0.011252813203300824,0.002500625156289072
density-10,10,17,3388,3382,3187,1.0175639335895055,1.0168115036818646,1.0689435800423808,1.1055203451022981,1.7563933589505476,6.894358004238077,10.552034510229813,69.87895519649024,140.14215,0.018036664695446483,0.0,1.0,4,0.013305736250739207,0.003252513305736251
density-10,10,18,2037,2033,1878,1.0098813964936435,1.0084438243720093,1.0363183733859411,1.0495181182161561,0.9881396493643502,3.6318373385941127,4.951811821615615,62.9209684039941,143.82559999999998,0.006394490900147565,0.0,0.0,3,0.004918839153959666,0.000983767830791933
density-10,10,19,4600,4592,4283,1.0509400715243802,1.0236356868808336,1.0873673333568201,1.121187801297443,5.094007152438018,8.736733335682011,12.1187801297443,60.00056555743031,125.48339999999999,0.014372822299651568,0.0,1.0,4,0.011977351916376307,0.00195993031358885
density-10,10,20,4124,4116,3876,1.044596398925006,1.027518815433939,1.088586218127387,1.1226679461235145,4.4596398925006,8.85862181273871,12.26679461235145,65.49615054518708,131.1735,0.009718172983479106,0.0,0.0,4,0.006802721088435374,0.001943634596695821
density-30,30,1,23555,23510,21808,1.053777760435228,1.0194464894291488,1.3162689487432069,1.6678501675150235,5.377776043522808,31.626894874320687,66.78501675150234,58.75811653364355,142.40419999999997,0.060484900042535095,1.0,1.0,26,0.052275627392598896,0.005572096980008507
density-30,30,2,22671,22627,21162,1.0583954889758287,1.0225387354013806,1.3568085878125713,1.6648077550909313,5.839548897582869,35.68085878125713,66.48077550909312,66.02831416269325,154.74380000000002,0.07031422636673001,1.0,1.0,15,0.059353869271224644,0.008529632739647325
density-30,30,3,21262,21220,19603,1.050382144039786,1.0192334703840829,1.293442967143754,1.6681463287006106,5.0382144039786025,29.344296714375396,66.81463287006106,56.284216169932144,141.38935,0.05103675777568332,0.0,1.0,7,0.044769085768143264,0.0049010367577756835
density-30,30,4,22419,22375,21197,1.0367087744946155,1.0252106729501618,1.3691574241328586,1.596552143095231,3.6708774494615515,36.915742413285855,59.655214309523096,79.95232040845542,189.6325,0.09519553072625699,1.0,2.0,5,0.08169832402234636,0.010636871508379888
density-30,30,5,22585,22541,20883,1.0480965671573448,1.0194176193081828,1.294026262462684,1.5396213995089358,4.809656715734478,29.402626246268394,53.96213995089359,57.93167246165033,140.12,0.05465596025021073,0.0,1.0,15,0.04733596557384322,0.005013087263209263
density-30,30,6,24166,24118,22454,1.042248451830212,1.0177494090630086,1.293219401812462,1.5410173667035234,4.2248451830211975,29.32194018124621,54.10173667035234,64.06807408458661,151.94105,0.05937474085745087,1.0,1.0,7,0.05216021228957625,0.005929181524172817
density-30,30,7,24696,24648,22996,1.0504479301346032,1.0185343198786012,1.3694000216883913,1.7648307025036212,5.044793013460325,36.94000216883913,76.48307025036212,61.846700140404096,152.57329999999985,0.07854592664719247,1.0,1.0,247,0.0576517364492048,0.007505679974034405
density-30,30,8,21548,21507,20179,1.0450275882039073,1.0212364414466242,1.286024207683559,1.5109410030828059,4.502758820390729,28.602420768355906,51.09410030828059,63.51210724135398,142.09740000000002,0.05853908029943739,1.0,1.0,5,0.05175059283024132,0.005300599804714744
density-30,30,9,22274,22230,20683,1.0709929589533569,1.021146439589623,1.3338277930431683,2.245204493463671,7.099295895335689,33.382779304316834,124.5204493463671,72.88444512363112,175.2573,0.07134502923976609,1.0,1.0,7,0.061493477282950966,0.00760233918128655
density-30,30,10,23171,23125,21588,1.0284813370364008,1.016489549319918,1.3001444273727554,1.6960967713961712,2.8481337036400767,30.014442737275537,69.60967713961712,74.5753069816454,181.63719999999992,0.0883027027027027,1.0,2.0,7,0.0732972972972973,0.011632432432432432
density-30,30,11,5041,5031,4686,1.0133430181735807,1.0104477968883243,1.0650036090907125,1.1246136008574505,1.3343018173580745,6.5003609090712455,12.461360085745055,60.03937354134963,127.79050000000001,0.011727290797058238,0.0,0.0,3,0.00934207910952097,0.0019876764062810573
density-30,30,12,4248,4240,3958,1.0182572976241622,1.014339868953397,1.0613643420051284,1.0864138945047301,1.8257297624162172,6.136434200512841,8.641389450473014,65.38442661905896,152.6556499999999,0.016273584905660377,0.0,1.0,7,0.012028301886792454,0.0018867924528301887
density-30,30,13,4945,4937,4586,1.0223280220548967,1.0115782592219773,1.0708496290040455,1.2458156776141716,2.23280220548967,7.084962900404546,24.581567761417155,56.72669822358315,129.8876,0.019039902774964552,0.0,1.0,3,0.017014381203159814,0.0012153129430828439
density-30,30,14,2863,2860,2660,1.0116372098304325,1.008868238669006,1.0387239038491836,1.0587854517809334,1.1637209830432482,3.872390384918356,5.878545178093342,56.84667292765384,123.26179999999997,0.00944055944055944,0.0,0.0,3,0.006293706293706294,0.0024475524475524478
density-30,30,15,2445,2443,2266,1.0103390830601982,1.006195630814652,1.0409485539875534,1.0618087499957911,1.033908306019815,4.094855398755337,6.180874999579111,60.04732338731887,136.36970000000002,0.014326647564469915,0.0,0.0,7,0.009823986901350798,0.001637331150225133
density-30,30,16,4005,3998,3742,1.015382285786148,1.010005198819488,1.0679320569819828,1.174256544373276,1.5382285786148087,6.793205698198279,17.425654437327598,66.78011965044021,147.25809999999996,0.011255627813906953,0.0,1.0,2,0.010505252626313157,0.0007503751875937969
density-30,30,17,3388,3382,3187,1.0137002911851407,1.0108161738394976,1.0537221535415886,1.0877431487333098,1.3700291185140712,5.37221535415886,8.77431487333098,69.40182498951212,138.2603,0.011531638083973979,0.0,0.0,3,0.009461856889414548,0.0014784151389710231
density-30,30,18,2037,2033,1878,1.0081826350613186,1.004605932837334,1.0341909132358766,1.0586513972715317,0.8182635061318555,3.419091323587664,5.865139727153168,62.78251052893261,143.3902,0.003443187407771766,0.0,0.0,3,0.002459419576979833,0.0004918839153959665
density-30,30,19,4600,4592,4283,1.0404220117384493,1.012582325764278,1.063214267644041,1.0900718856722849,4.042201173844928,6.321426764404103,9.007188567228486,59.2512686127439,124.44559999999998,0.01132404181184669,0.0,0.0,4,0.009364111498257839,0.001524390243902439
density-30,30,20,4124,4116,3876,1.0321026253240742,1.0149200026136396,1.0621375344149426,1.0983137401812697,3.210262532407415,6.213753441494263,9.83137401812697,64.65353053789845,129.828,0.013119533527696793,0.0,0.849999999999909,3,0.01020408163265306,0.002186588921282799
density-60,60,1,23555,23510,21808,1.0384317908222105,1.0068196650318455,1.2854940478751447,1.5829968297535257,3.8431790822210488,28.549404787514465,58.299682975352574,57.60664544942407,140.74804999999998,0.05997447894512973,1.0,1.0,25,0.05257337303275202,0.0054019566142067205
density-60,60,2,22671,22627,21162,1.0498305868633002,1.0096026199233088,1.3314887749952267,1.6028536055480147,4.983058686330022,33.14887749952267,60.28536055480147,65.42724969104432,155.342,0.06978388650727008,1.0,1.0,14,0.061342643744199406,0.006275688336942591
density-60,60,3,21262,21220,19603,1.0387664751552639,1.0058154543368518,1.2756357883598266,1.6331603021657588,3.876647515526388,27.56357883598266,63.31603021657588,55.50219936220358,139.97044999999997,0.05730442978322337,0.0,1.0,46,0.049245994344957585,0.0049010367577756835
density-60,60,4,22419,22375,21197,1.0298333221862968,1.0110452067061904,1.3754225042601218,1.6067401455862584,2.983332218629675,37.54225042601218,60.67401455862584,79.27613415504759,187.98289999999997,0.08107262569832402,1.0,1.0,7,0.07356424581005587,0.006391061452513966
density-60,60,5,22585,22541,20883,1.0391031559209933,1.0074920377060044,1.2806378154081492,1.5467171564410054,3.9103155920993338,28.063781540814926,54.67171564410054,57.301864040551,139.486,0.05700723126746817,0.0,1.0,14,0.04995341821569584,0.005190541679606051
density-60,60,6,24166,24118,22454,1.035037518656692,1.007036814730844,1.2792775938007108,1.5217517072587614,3.5037518656692024,27.92775938007108,52.17517072587614,63.7093219475935,153.5278499999999,0.0647234430715648,1.0,1.0,7,0.058628410315946594,0.0048926113276391075
density-60,60,7,24696,24648,22996,1.0365424173504656,1.0061054731234238,1.3304159628944388,1.685192005911776,3.6542417350465595,33.04159628944387,68.5192005911776,60.82432318973872,148.7598499999998,0.06114086335605323,1.0,1.0,44,0.05185004868549172,0.005923401493021746
density-60,60,8,21548,21506,20178,1.0346017044644524,1.0088792707681673,1.2674909034426658,1.5175968521513046,3.460170446445243,26.74909034426658,51.75968521513046,62.763487870352456,141.83425,0.05598437645308286,0.0,1.0,46,0.0484980935552869,0.0043708732446759045
density-60,60,9,22274,22230,20683,1.0676971327026543,1.010087746537605,1.3294738380471829,2.40858158716303,6.769713270265432,32.947383804718285,140.858158716303,72.85325674216465,175.9268,0.07422402159244265,1.0,1.0,7,0.06585695006747638,0.007197480881691408
density-60,60,10,23171,23126,21589,1.0170518746998582,1.005632070591221,1.2733976720479545,1.6025843136451794,1.705187469985825,27.33976720479545,60.25843136451794,73.18765127088774,175.85675,0.08583412609184468,1.0,1.0,10,0.07554267923549252,0.008302343682435355
density-60,60,11,5041,5031,4686,1.0090802812904442,1.0035743514194897,1.0546354826354831,1.110917208012696,0.9080281290444248,5.463548263548312,11.091720801269588,59.563216793188225,125.63,0.020671834625323,0.0,1.0,3,0.016696481812760882,0.0035778175313059034
density-60,60,12,4248,4240,3958,1.0128747225879189,1.006346760257658,1.055586716224064,1.0811595906696418,1.2874722587918885,5.558671622406397,8.115959066964184,65.00719077000237,152.5867,0.020047169811320754,0.0,1.0,3,0.018160377358490565,0.0011792452830188679
density-60,60,13,4945,4937,4586,1.010034433993068,1.0036137915044248,1.0500082282057368,1.0931653878348793,1.0034433993068026,5.00082282057368,9.316538783487927,55.349261237559254,126.6078,0.015393963945716021,0.0,1.0,3,0.01377354668827223,0.0010127607859023698
density-60,60,14,2863,2860,2660,1.0070295850109476,1.003647574663619,1.0315338044498552,1.0669472646775413,0.7029585010947637,3.1533804449855207,6.694726467754131,56.58626953604546,124.15569999999998,0.011188811188811189,0.0,0.0,3,0.008041958041958041,0.0024475524475524478
density-60,60,15,2445,2443,2266,1.006865848304301,1.0022014228035965,1.0325673746812931,1.0483897694439928,0.6865848304300926,3.2567374681293115,4.838976944399276,59.78574618715514,135.8813,0.010642652476463364,0.0,0.0,3,0.009823986901350798,0.00040933278755628325
density-60,60,16,4005,3998,3742,1.0104426566829345,1.0047863045073027,1.057464387891824,1.0977491869120486,1.0442656682934537,5.746438789182395,9.77491869120486,66.34529003563283,145.06029999999993,0.013506753376688344,0.0,1.0,2,0.013006503251625813,0.0005002501250625312
density-60,60,17,3388,3382,3187,1.0093350937067915,1.004326561324304,1.045115087956011,1.0738900421847608,0.9335093706791531,4.5115087956010935,7.389004218476081,68.966700270411,136.76505,0.011827321111768185,0.0,0.19000000000005457,3,0.010053222945002957,0.0011827321111768185
density-60,60,18,2037,2034,1879,1.0061234744323941,1.0018049926778598,1.028511494193144,1.0424377833078287,0.6123474432394138,2.8511494193143916,4.243778330782866,62.704971831524084,143.51335,0.00344149459193707,0.0,0.0,3,0.0024582104228121925,0.0004916420845624386
density-60,60,19,4600,4592,4283,1.0390242597021702,1.0060883001375567,1.0687649806512491,1.1123851556560749,3.902425970217016,6.876498065124914,11.238515565607488,59.22570339061847,125.0629,0.015461672473867595,0.0,1.0,2,0.014155052264808362,0.0013066202090592336
density-60,60,20,4124,4116,3876,1.0265483638640163,1.0071712697324893,1.061716216942504,1.0924276773695298,2.6548363864016267,6.1716216942504065,9.242767736952985,64.37199331729592,129.53825,0.01336248785228377,0.0,1.0,3,0.011904761904761904,0.0009718172983479105
density-120,120,1,23555,23510,21808,1.0306894143253647,1.0031104698279694,1.2633704327360302,1.5250878346659862,3.068941432536465,26.337043273603022,52.508783466598615,56.9098102984245,136.61594999999997,0.053424074861760956,0.0,1.0,25,0.04666099532113994,0.004849000425350914
density-120,120,2,22671,22627,21162,1.0405877211054406,1.0046840440731202,1.2934480501175192,1.5898702909366211,4.058772110544062,29.344805011751916,58.987029093662116,64.654209367537,150.38360000000003,0.06006098908383789,1.0,1.0,14,0.052945595969417066,0.005259203606311044
density-120,120,3,21262,21221,19604,1.0307616343945138,1.002073032658458,1.2461232005800218,1.6170571881018003,3.076163439451385,24.61232005800218,61.70571881018003,54.84925113641959,135.357,0.05843268460487253,0.0,1.0,220,0.043918759719146126,0.0033457424249564113
density-120,120,4,22419,22375,21197,1.0339447494769638,1.0047684459133222,1.3520662742397644,1.5917901645493953,3.39447494769638,35.20662742397644,59.17901645493953,79.60836580197497,191.47279999999998,0.07870391061452514,1.0,1.0,6,0.07016759776536313,0.006927374301675978
density-120,120,5,22585,22541,20883,1.029530572590473,1.0029703182772407,1.2542160664789355,1.4861472399699749,2.953057259047309,25.421606647893547,48.61472399699749,56.5613626386611,136.247,0.05137305354687015,0.0,1.0,14,0.045738875826272125,0.004258905993522914
density-120,120,6,24166,24118,22454,1.0353393744149766,1.003059403320914,1.2895265482053737,1.5468222821192845,3.5339374414976588,28.952654820537372,54.682228211928454,63.84137595704702,152.26199999999992,0.06339663322000166,1.0,1.0,7,0.05721867484866075,0.0049340741355004564
density-120,120,7,24696,24650,22998,1.041095450464317,1.0030817085725703,1.3334215153276958,1.7971521758194255,4.109545046431706,33.342151532769584,79.71521758194255,61.25366403167059,149.78464999999997,0.07233265720081136,1.0,1.0,204,0.056024340770791076,0.006288032454361055
density-120,120,8,21548,21508,20180,1.0301102989304973,1.003074348914351,1.2609256911274294,1.5568251884563977,3.0110298930497326,26.092569112742936,55.68251884563977,62.443147588794865,137.40769999999995,0.077599032917984,0.0,1.0,308,0.04854007811047052,0.0038590291984377904
density-120,120,9,22274,22230,20683,1.0620393259309873,1.0049362009956635,1.357776297802621,2.264238632757971,6.203932593098727,35.77762978026211,126.42386327579712,72.45335619785514,175.36864999999997,0.06342780026990553,1.0,1.0,7,0.057219973009446694,0.0052181736392262704
density-120,120,10,23171,23127,21590,1.0301456295573257,1.0022607269226156,1.3035789943400842,1.7330976232080784,3.0145629557325693,30.357899434008417,73.30976232080783,74.67265948158213,182.4470000000001,0.07692307692307693,1.0,1.0,7,0.07052363038872314,0.0054481774549228175
density-120,120,11,5041,5031,4686,1.0049981764803053,1.0007487481628945,1.038782691708952,1.0881669786954802,0.49981764803053164,3.878269170895199,8.816697869548019,59.27252691046113,126.582,0.023057046312860267,0.0,1.0,3,0.018882925859670045,0.003776585171934009
density-120,120,12,4248,4240,3958,1.0050688198727107,1.0011263822609715,1.0329107400271058,1.065388636389142,0.5068819872710684,3.291074002710581,6.538863638914205,64.38052411905896,150.3217,0.016981132075471698,0.0,1.0,3,0.01580188679245283,0.0007075471698113207
density-120,120,13,4945,4937,4586,1.0029711154678373,1.0000268971648736,1.0309675852037004,1.0690198681298932,0.29711154678373486,3.0967585203700354,6.901986812989325,54.836154350785904,125.4862,0.014178651002633179,0.0,1.0,3,0.013165890216730808,0.0006076564715414219
density-120,120,14,2863,2860,2660,1.0015554457148206,1.0001841681562773,1.0156376983492945,1.0303885937910429,0.15554457148205802,1.5637698349294515,3.038859379104286,56.127439221360135,122.06699999999998,0.013286713286713287,0.0,0.0,3,0.009790209790209791,0.002797202797202797
density-120,120,15,2445,2442,2265,1.001979679336836,1.0001495184012297,1.0189093071957995,1.0325055873265307,0.1979679336836071,1.890930719579953,3.250558732653075,59.318231259303865,134.9767,0.013513513513513514,0.0,1.0,3,0.012694512694512694,0.0004095004095004095
density-120,120,16,4005,3998,3742,1.00360099593198,1.0008687835750658,1.0369829524661525,1.0807166051115396,0.36009959319800444,3.6982952466152463,8.071660511153954,65.75637855489245,143.55585,0.014507253626813406,0.0,1.0,2,0.01375687843921961,0.0007503751875937969
density-120,120,17,3388,3382,3187,1.0072727955749965,1.000659483915494,1.0284224263379924,1.0507648202431958,0.7272795574996493,2.8422426337992412,5.076482024319584,68.8279927896304,135.51199999999997,0.01034890597279716,0.0,0.0,3,0.008870490833826138,0.0008870490833826139
density-120,120,18,2037,2033,1878,1.0019914076053167,1.0001515759300073,1.0171386609334103,1.0302250016238481,0.19914076053166863,1.7138660933410321,3.0225001623848113,62.24306611181505,142.326,0.0073782587309394985,0.0,0.0,3,0.005902606984751598,0.000983767830791933
density-120,120,19,4600,4592,4283,1.0308916575973355,1.0007764324349915,1.0367210658629558,1.0932603175451427,3.0891657597335476,3.672106586295576,9.326031754514275,58.50992440542683,122.75415,0.015026132404181184,0.0,1.0,2,0.013937282229965157,0.0010888501742160278
density-120,120,20,4124,4117,3877,1.0179583898103306,1.0015993135884875,1.0307809693330034,1.0854926192043275,1.79583898103306,3.078096933300345,8.549261920432748,63.69320446781394,127.98039999999999,0.017731357784794753,0.0,1.0,3,0.0162739859120719,0.0009715812484819043
density-180,180,1,23555,23509,21807,1.0248110174073457,1.001198066664997,1.2359644655953372,1.5700019449726095,2.4811017407345703,23.596446559533724,57.00019449726095,56.42958706095368,134.7274,0.05049130120379429,0.0,1.0,25,0.04453613509719682,0.004041005572334
density-180,180,2,22671,22627,21162,1.0228011111541893,1.0021762900260338,1.2234590969619203,1.4414354920450974,2.2801111154189257,22.345909696192034,44.14354920450974,62.8928769770301,141.74170000000004,0.046272152737879525,0.0,1.0,14,0.04216201882706501,0.0026075043090113582
density-180,180,3,21262,21220,19603,1.0219105286978987,1.000726934618148,1.216581896909679,1.4646055312002522,2.191052869789867,21.65818969096791,46.46055312002522,54.096594913570215,132.19365,0.061262959472196045,0.0,1.0,366,0.04057492931196984,0.002874646559849199
density-180,180,4,22419,22375,21197,1.0335313070861651,1.0024574825903643,1.3404274975375692,1.610324893451649,3.353130708616514,34.042749753756915,61.0324893451649,79.32322198074591,185.89,0.06753072625698324,1.0,1.0,5,0.06265921787709497,0.003977653631284916
density-180,180,5,22585,22541,20883,1.0235845761687203,1.0010228173159335,1.2296570755662455,1.4867927328957362,2.358457616872034,22.965707556624547,48.67927328957362,56.042561498516484,133.512,0.04942105496650548,0.0,1.0,14,0.04423051328689943,0.0037265427443325494
density-180,180,6,24166,24118,22454,1.0279716192775912,1.0012060774489555,1.2564442816656907,1.581731002819711,2.7971619277591175,25.644428166569067,58.17310028197109,63.12840167642673,149.20289999999997,0.05792354258230367,1.0,1.0,7,0.053569947756862094,0.0033999502446305663
density-180,180,7,24696,24650,22998,1.0324446246912822,1.001062611265803,1.2972350178941943,1.7614636919107078,3.2444624691282176,29.723501789419426,76.14636919107079,60.37761165438864,146.93909999999997,0.07217038539553752,1.0,1.0,370,0.051886409736308314,0.004340770791075051
density-180,180,8,21548,21506,20178,1.0278770191014943,1.0016266816544912,1.255188794496019,1.521670058371804,2.7877019101494316,25.518879449601894,52.16700583718039,62.27174270156235,138.76075,0.07091044359713568,0.0,1.0,366,0.049614061192225424,0.003580396168511113
density-180,180,9,22274,22230,20683,1.051286231603838,1.0023266070526875,1.3533843446308986,1.9333777705705084,5.128623160383805,35.33843446308986,93.33777705705084,71.74573694459379,174.50194999999997,0.05816464237516869,1.0,1.0,7,0.05236167341430499,0.004588394062078272
